Token,FileSize,ChunkSize,StartTime,ElapsedTime,UploadRate
4d2cd8ff11ef137c787b3abada02d26e,5242880,1480,1399888123.580713,31.666772688,161.68366920258356 KB/s
f65bbe8cfee4810957783921c3abd625,5242880,1480,1399888123.6370533,45.90376837,111.53768376336899 KB/s
4cb45d0e04bb939d715fb3a4b0c9d1a8,5242880,1480,1399888123.6210635,47.420605724,107.96994095351089 KB/s
f78c7562c1d91824b97ffa9334d1e7c6,5242880,1480,1399888123.6866992,54.708446127,93.58701192343226 KB/s
e7dcd7efe2a47ac05cfdb5b5319244b7,5242880,1480,1399888123.747637,56.138454828,91.20308023594397 KB/s
8f4f3a3422d144c5c016cf3785fb8700,5242880,1480,1399888123.8161962,57.19028177,89.52569984863706 KB/s
880d05bb8c9a83601b1e4c2af05ee151,5242880,1480,1399888123.8222258,57.590732,88.90319365970205 KB/s
bce0ee5413a06b0d9f02873c5e298250,5242880,1480,1399888123.8047597,61.424381646,83.35452246808931 KB/s
c9c0663ba865d82f132db02413f089d5,5242880,1480,1399888123.8611941,62.205073745,82.3083985237063 KB/s
c7055eb8090bc366dba538151657cf27,5242880,1480,1399888123.8612564,63.764439241,80.2955387194542 KB/s
2ea71afbc10b0aaf64666bd75dd2eb2b,5242880,1480,1399888192.0970728,32.860262635,155.811292711538 KB/s
42954070fce23a6c62ad5676109cffb3,5242880,1480,1399888192.1170716,49.324423305,103.8025314222171 KB/s
c11955fd62171529be9e3a7f6402fb8e,5242880,1480,1399888192.2147524,52.351457271,97.80052489267028 KB/s
785ddfd308707adc001153ad48725995,5242880,1480,1399888192.2794685,55.518298151,92.22184703995251 KB/s
6a1df75bf1571a5f32329c42fa9984f0,5242880,1480,1399888192.279571,58.617680637,87.34565995039064 KB/s
cbe3cf0b50ef4659a4ea35e5e7466b65,5242880,1480,1399888192.2850614,59.0672736,86.6808248959031 KB/s
f541be91f7256795d4259899e143fd7c,5242880,1480,1399888192.2411537,59.317764627,86.31478330640769 KB/s
5277aa10da119549dc02553c53fe92e1,5242880,1480,1399888192.2914948,59.969131464,85.37725784929171 KB/s
c9b44551c701d196396dfcf1826ca65e,5242880,1480,1399888192.2949317,60.278620491,84.93890467789404 KB/s
432c4a74badf56deed286e4bc4999411,5242880,1480,1399888192.157049,62.135202175,82.40095502674689 KB/s
bcd04f5b90368b8a468d0f2eab0b705b,5242880,1480,1399888260.6422408,33.465315548,152.99422450256824 KB/s
bb1336f4d33d4fb2bddc87d0ba89b3de,5242880,1480,1399888260.7042108,50.113097858,102.16889832889564 KB/s
3479ba9a505cd53cf314c42dfcdb15aa,5242880,1480,1399888260.677889,50.462309586,101.46186415178401 KB/s
56038172ae4476be4384f1fc3e79bbf8,5242880,1480,1399888260.8195577,56.427111161,90.73652530946373 KB/s
a0bb4c6284957f0b7cbe5c42e73e28af,5242880,1480,1399888260.8543,57.253811804,89.42636024877378 KB/s
61118f803b37fc4fe52476e831b7f154,5242880,1480,1399888260.7854648,57.706095651,88.72546205456675 KB/s
42f113ed413763a833ee6c089f47fd7e,5242880,1480,1399888260.8382218,58.343524235,87.7560974783991 KB/s
92ab3a5b91d706d9ce837e3eee5d9bcb,5242880,1480,1399888260.8386075,58.657811047,87.2859029106552 KB/s
78ee8f2a2b991c7192afeeaf56570299,5242880,1480,1399888260.7854195,60.535009842,84.57915532455527 KB/s
8a46af6d017d98ee4fc3538289ee4c09,5242880,1480,1399888260.8542075,63.976144102,80.02983099195471 KB/s
deb63ee84bfe66a0ee9240fdb31d6926,5242880,1480,1399888329.2490747,40.884974893,125.22937860178571 KB/s
212c11f7ad928d5c6a3ebd752d8e6d5c,5242880,1480,1399888329.3339067,52.492704067,97.53736430618999 KB/s
10785143e01e3f5031711ae6476b4af8,5242880,1480,1399888329.3260863,53.795474359,95.17529236441099 KB/s
c302e408185bf6ae829d11ea657e6190,5242880,1480,1399888329.2730744,56.125643989,91.2238976002389 KB/s
8543eb320705ccbf73c484435b4c0fb3,5242880,1480,1399888329.3857722,56.547518501,90.54331888868751 KB/s
a3460eff140fe8d8d123ea87738f13ee,5242880,1480,1399888329.4206297,57.432126555,89.14871008819117 KB/s
efc00576731b37eafa11840f6fb5fcb6,5242880,1480,1399888329.2850919,57.785097064,88.60416024445428 KB/s
d9037f412b39ef807f2a29f15b3f8d18,5242880,1480,1399888329.4012532,58.59585423,87.37819539080384 KB/s
f1a4cf18e236dd0c66f201686564c92e,5242880,1480,1399888329.3935196,58.725625163,87.18510847332536 KB/s
865344d7f0e89714e1090de40b1ec90a,5242880,1480,1399888329.4206028,64.869579746,78.92759626388224 KB/s
627921413bc1a403bba2188f8deae2ce,5242880,1480,1399888397.8443925,38.351860423,133.50069445208672 KB/s
62f49c1885284834a556e7dae426ce29,5242880,1480,1399888397.8890717,49.078513518,104.32263801392828 KB/s
165161efe8981753990dac2a2d541a3b,5242880,1480,1399888397.8622718,50.005450911,102.3888377511605 KB/s
542d9031d29dace1121d89bf70b6a391,5242880,1480,1399888397.9757295,55.443186784,92.34678410436445 KB/s
2f5b4b32dcbe7cceacbd98eefe0b98c7,5242880,1480,1399888398.0060577,55.991191015,91.44295570759257 KB/s
d96a19204259f99f5d607a23a61115cb,5242880,1480,1399888397.9867392,57.284650071,89.37821901074976 KB/s
5c525add44bdaddf4693dc99bb7d9eb2,5242880,1480,1399888398.0216184,59.218239368,86.45984842917696 KB/s
d13f2e3be46d031adc453916c990e892,5242880,1480,1399888398.0214038,59.583620699,85.92965549819179 KB/s
c1033434262f9aadb923895b4e8f9637,5242880,1480,1399888397.98683,62.639008436,81.73820320337997 KB/s
b0888421c3bc000862b5b4e13e73c5ae,5242880,1480,1399888398.0090845,63.150560671,81.0760814408922 KB/s
d26803738ad32d0e86097c6f671f1804,10485760,1480,1399888800.06641,83.984943957,121.92661586156257 KB/s
6bfaf8dbabd071090c2deb790d63cadd,10485760,1480,1399888800.0903163,107.572467871,95.1916433885269 KB/s
