FromWho,Token,StartTime,ElapsedTime
client,b6de2f0cc4257b404d886487056807c5,1399288411.5823958,0.016442667
command,"",1399288419.2507966,8.9383e-05
command,"",1399288424.5108526,6.8556e-05
gateway,b6de2f0cc4257b404d886487056807c5,1399288411.6120129,13.184066983
command,"",1399288427.5163267,8.3458e-05
client,6ec8e8f9e80436eb08d9275de973a48f,1399288427.6361747,0.016060138
command,"",1399288435.283885,7.6287e-05
command,"",1399288440.460327,7.8601e-05
gateway,6ec8e8f9e80436eb08d9275de973a48f,1399288427.6575527,13.196226242
command,"",1399288443.4656568,5.9267e-05
client,099b475eb155dc3b36ad302e4a5ead03,1399288443.5862608,0.015639565
command,"",1399288451.406259,7.245e-05
command,"",1399288456.6410253,0.000162374
gateway,099b475eb155dc3b36ad302e4a5ead03,1399288443.6111424,13.15093482
command,"",1399288459.6460025,5.7033e-05
client,2510af2aa6ec60df554e7311ba3edb4d,1399288459.7702827,0.015558607
command,"",1399288467.3127737,0.000146918
command,"",1399288472.3695369,8.0474e-05
gateway,2510af2aa6ec60df554e7311ba3edb4d,1399288459.7929697,13.134592447
command,"",1399288475.3791423,6.6135e-05
client,4cf164e8995d560e0432482d7d23de0f,1399288475.5001597,0.015647241
command,"",1399288483.1705663,8.1187e-05
command,"",1399288488.3035407,7.2395e-05
gateway,4cf164e8995d560e0432482d7d23de0f,1399288475.5205345,13.194806068
command,"",1399288491.3089886,7.316e-05
client,11fc48bd3694f01b7b03ebbffb016048,1399288491.430735,0.015134605
command,"",1399288499.3224106,7.61e-05
command,"",1399288504.539141,7.0274e-05
gateway,11fc48bd3694f01b7b03ebbffb016048,1399288491.4516528,13.171751787
command,"",1399288507.545123,6.8138e-05
client,6e7608f76d72f728f1de60cfb475d4e1,1399288507.6701193,0.01581886
command,"",1399288515.401224,0.000191263
command,"",1399288520.6283824,7.8885e-05
gateway,6e7608f76d72f728f1de60cfb475d4e1,1399288507.6911397,13.188896999
command,"",1399288523.6338127,6.6686e-05
client,914aef63b0427fd2f27f94ccaf55b3bd,1399288523.759028,0.013964719
command,"",1399288531.4310017,8.5687e-05
command,"",1399288536.647403,7.3864e-05
