FromWho,Token,StartTime,ElapsedTime
gateway,914aef63b0427fd2f27f94ccaf55b3bd,1399288523.7813947,13.165300862
command,"",1399288539.6531746,6.9043e-05
client,7104c101429e16ef24ba81a953ef6f35,1399288539.7761357,0.014425861
command,"",1399288547.4094446,8.5556e-05
command,"",1399288552.6079195,8.5129e-05
gateway,7104c101429e16ef24ba81a953ef6f35,1399288539.795796,13.198498177
command,"",1399288555.6138198,6.7948e-05
client,b87a32dca3f6eeb5c0476a2912413abf,1399288555.736125,0.015872888
command,"",1399288563.3748488,8.078e-05
command,"",1399288568.551148,7.861e-05
gateway,b87a32dca3f6eeb5c0476a2912413abf,1399288555.7609463,13.191136596
command,"",1399288571.5561085,0.000100057
command,"",1399288584.7764807,8.3169e-05
direct-client,384374950e26ab80883f0d0976eb4876,1399288571.678844,13.100093238
command,"",1399288587.7818909,7.6488e-05
direct-client,369a4042db96ea2730c1401a2f23227b,1399288587.902554,13.099623309
command,"",1399288601.0649552,6.9902e-05
direct-client,6c542bab5809cb767682453aede16d76,1399288601.1847212,13.158599737
command,"",1399288614.3454685,5.7421e-05
direct-client,55c2dcda4e4345235bfc94d58b3393eb,1399288614.466304,13.159457762
command,"",1399288627.6277606,5.6352e-05
direct-client,14eaf492f19bc3f29f7b7cccc8a36122,1399288627.7483988,13.159038752
command,"",1399288640.9095016,5.7845e-05
direct-client,7cc2dc90ac6345ffa623179c5caa3c8f,1399288641.0301282,13.114667039
command,"",1399288654.1931517,7.419e-05
direct-client,381775f08b6e43f5f9bc3ff952deaa37,1399288654.312735,13.110277776
command,"",1399288667.4749353,7.106e-05
direct-client,ebe142b85f7b1c110036e7b1c8eedd34,1399288667.5949602,13.107593953
command,"",1399288680.7581322,6.7601e-05
direct-client,e629b07dbbfe7a04b47001b98635f05e,1399288680.8778033,13.159849898
command,"",1399288694.0390887,7.1111e-05
direct-client,a27165a38dc6b78a6eb0cd09d76dcbbd,1399288694.1587555,13.156273311
command,"",1399288707.3259153,7.1231e-05
client,14f44b0abbbb56b16e77580945d0dbbf,1399288707.4953191,0.033594413
command,"",1399288722.2897828,7.3266e-05
command,"",1399288728.4589565,7.319e-05
command,"",1399288733.8845847,0.000140012
gateway,14f44b0abbbb56b16e77580945d0dbbf,1399288707.544661,26.340660789
command,"",1399288736.889568,6.398e-05
client,a348eb7f67b8b4e65cb90aa9b894e302,1399288737.0122025,0.029886325
command,"",1399288751.88764,7.1933e-05
command,"",1399288758.1614294,7.3412e-05
command,"",1399288763.4128683,0.000130393
gateway,a348eb7f67b8b4e65cb90aa9b894e302,1399288737.0525558,26.372768088
command,"",1399288766.4182167,0.000117709
client,12fe5dd9103f5b19f5d83f80c62fcf3c,1399288766.5401661,0.031140009
command,"",1399288781.4640062,8.461e-05
command,"",1399288787.6325037,7.5729e-05
gateway,12fe5dd9103f5b19f5d83f80c62fcf3c,1399288766.5763388,26.323170039
command,"",1399288792.9111235,6.0379e-05
client,d9bd376e697b80571556677015595d17,1399288793.0306215,0.031151243
command,"",1399288807.8525949,7.5105e-05
command,"",1399288814.07988,9.7389e-05
command,"",1399288819.4057229,9.6579e-05
gateway,d9bd376e697b80571556677015595d17,1399288793.0706236,26.357268151
command,"",1399288822.4116793,6.8975e-05
client,0b6815f68ee559def8086af507f936a3,1399288822.5390234,0.027467176
command,"",1399288837.3902297,9.7859e-05
command,"",1399288843.541771,8.0154e-05
gateway,0b6815f68ee559def8086af507f936a3,1399288822.5722165,26.312356576
command,"",1399288848.9044287,6.2575e-05
client,a20aae77a13affcc6c50bd6608d9b750,1399288849.0271685,0.028888043
command,"",1399288863.297306,8.0392e-05
command,"",1399288868.7611313,7.716e-05
command,"",1399288874.9118335,8.1798e-05
gateway,a20aae77a13affcc6c50bd6608d9b750,1399288849.0607986,26.341636609
command,"",1399288877.9179883,6.8857e-05
client,21f335d4907f0579b671d6acdcefe9e7,1399288878.0421822,0.02987556
command,"",1399288892.4616308,0.000171317
command,"",1399288897.9362762,8.4392e-05
command,"",1399288904.1674545,0.000140446
gateway,21f335d4907f0579b671d6acdcefe9e7,1399288878.0766666,26.35998232
command,"",1399288907.1729274,6.9895e-05
client,a02b8607207fab842986948a75a381dc,1399288907.294946,0.030214193
command,"",1399288922.1182861,7.6722e-05
command,"",1399288928.2291343,8.2134e-05
command,"",1399288933.673077,0.000107052
gateway,a02b8607207fab842986948a75a381dc,1399288907.3295228,26.371050916
command,"",1399288936.679945,7.7016e-05
client,505b85fba0f8e5c0176c429f318146c0,1399288936.8060534,0.030282919
command,"",1399288951.2731018,0.000181121
command,"",1399288956.7737813,7.4389e-05
command,"",1399288963.0479643,8.119e-05
gateway,505b85fba0f8e5c0176c429f318146c0,1399288936.840689,26.353215671
command,"",1399288966.0533319,6.9741e-05
client,e4ee8fab4912d72cd434917e0d211f35,1399288966.1788335,0.027491719
command,"",1399288981.1720686,8.2106e-05
command,"",1399288987.45047,9.274e-05
command,"",1399288992.5592237,0.000117666
gateway,e4ee8fab4912d72cd434917e0d211f35,1399288966.2138596,26.350385938
command,"",1399288995.564033,0.000102373
direct-client,77dc05c343da2b40ad7f208332999705,1399288995.6856735,26.312812648
command,"",1399289022.0119555,6.7589e-05
command,"",1399289048.3722606,8.0413e-05
direct-client,d95a92c8c7080dfdee87aa6024382ff0,1399289022.1317122,26.287712454
command,"",1399289051.3774872,6.2099e-05
command,"",1399289077.82211,8.8218e-05
direct-client,bceb179609065cf0021481635ec83a6b,1399289051.4991696,26.323470375
command,"",1399289080.8276858,6.3776e-05
direct-client,c52f4ce61c68d1ef9c0040617685ec73,1399289080.9483354,26.307616139
command,"",1399289107.2703695,6.4676e-05
direct-client,4528cc65cffaea3e9c4f2d9b7c95df43,1399289107.3919702,26.315625483
command,"",1399289133.7192163,7.3074e-05
command,"",1399289160.1642141,9.4286e-05
direct-client,b119af081f27b81798521986918fcde7,1399289133.841171,26.32358409
command,"",1399289163.1695192,6.5336e-05
direct-client,668e00d56b48c120816c32ae12c4f1ca,1399289163.2917395,26.31926256
command,"",1399289189.6133997,6.9681e-05
command,"",1399289216.0580876,7.1934e-05
direct-client,2bb74a0f4bafc4a9457c623a3166f949,1399289189.7348711,26.323578827
command,"",1399289219.0640156,7.689e-05
command,"",1399289245.5060503,7.7673e-05
direct-client,d4e6b59d01ee3847fe0d3bf3cf77f0ed,1399289219.1847732,26.321765196
command,"",1399289248.5119743,6.5817e-05
command,"",1399289274.9545481,8.0924e-05
direct-client,0cf34e0e6fcb6873092cf06e0f0a7ea9,1399289248.6329167,26.322141207
command,"",1399289277.9600434,8.0327e-05
client,2ad7d06615e44d8d76171f861d031e89,1399289278.1406426,0.046628749
command,"",1399289300.1658638,8.7955e-05
command,"",1399289307.2259815,0.00012184
command,"",1399289315.263014,8.4174e-05
gateway,2ad7d06615e44d8d76171f861d031e89,1399289278.1958787,39.541022667
command,"",1399289318.2683685,6.5613e-05
client,f6c209b9bf993fab24fb362fe3beb5c4,1399289318.3903995,0.046872418
command,"",1399289340.4058652,8.9942e-05
command,"",1399289347.6031923,7.67e-05
command,"",1399289355.695385,0.000141875
gateway,f6c209b9bf993fab24fb362fe3beb5c4,1399289318.4416,39.538932451
command,"",1399289358.701012,6.703e-05
client,b391e8dd5cea45c099e4959a160cda77,1399289358.8280551,0.045403174
command,"",1399289380.8878784,7.3998e-05
command,"",1399289388.0847824,0.000151482
command,"",1399289396.1688013,0.000323561
gateway,b391e8dd5cea45c099e4959a160cda77,1399289358.8811288,39.532695301
command,"",1399289399.173303,7.0619e-05
client,ac1138d856136327a60b3fa642251447,1399289399.2988324,0.042351357
command,"",1399289421.2693624,9.328e-05
command,"",1399289428.3800097,0.000104799
command,"",1399289436.4289448,0.000307297
gateway,ac1138d856136327a60b3fa642251447,1399289399.3512287,39.549916886
command,"",1399289439.433305,6.1429e-05
client,34d434ecca171f7b3bb46e7d20e5bcc2,1399289439.559039,0.043111825
command,"",1399289461.518386,8.6026e-05
command,"",1399289468.541348,7.6281e-05
command,"",1399289476.4039688,8.5596e-05
gateway,34d434ecca171f7b3bb46e7d20e5bcc2,1399289439.6067963,39.481970493
command,"",1399289479.408474,6.1296e-05
client,946ca5cbd24f8bf4b60035a1734a281f,1399289479.531917,0.046871912
command,"",1399289501.7115939,8.0574e-05
command,"",1399289508.9643443,8.6344e-05
command,"",1399289517.1694515,8.9649e-05
gateway,946ca5cbd24f8bf4b60035a1734a281f,1399289479.5840716,39.507025134
command,"",1399289520.174644,6.6811e-05
client,b882fd92b4e394468c796f6d6c5218db,1399289520.2972653,0.045610184
command,"",1399289542.2761765,9.0274e-05
command,"",1399289549.3972797,8.3028e-05
command,"",1399289557.4161317,7.4414e-05
gateway,b882fd92b4e394468c796f6d6c5218db,1399289520.3492832,39.545504052
command,"",1399289560.421122,6.4903e-05
client,9fb26273ce3c1dd702de6585e6919be2,1399289560.5439808,0.046723653
command,"",1399289582.6375194,8.7017e-05
command,"",1399289589.8959825,9.3343e-05
command,"",1399289598.0130503,0.000131512
gateway,9fb26273ce3c1dd702de6585e6919be2,1399289560.5946796,39.4959597
command,"",1399289601.0181787,6.3369e-05
client,b41c041cbf97d53f08ec7b6e709c291d,1399289601.14407,0.045416486
command,"",1399289623.246611,8.9013e-05
command,"",1399289630.4698,8.8087e-05
command,"",1399289638.5545363,8.0544e-05
gateway,b41c041cbf97d53f08ec7b6e709c291d,1399289601.1941206,39.535958152
command,"",1399289641.5599194,6.0216e-05
client,06c3bfcef75050e75ba6e25f525668d3,1399289641.683994,0.045213708
command,"",1399289663.717895,8.0183e-05
command,"",1399289670.6878219,8.7098e-05
command,"",1399289678.8001664,9.4805e-05
gateway,06c3bfcef75050e75ba6e25f525668d3,1399289641.7341886,39.500227302
command,"",1399289681.805781,6.1855e-05
direct-client,226f9e3cc2cf01ddb0f620dd8f3cd1b3,1399289681.926003,39.463182089
command,"",1399289721.404519,6.3408e-05
direct-client,f51a8aa1ce24513a508eff9edddd4154,1399289721.5251288,39.461066426
command,"",1399289761.0054955,7.295e-05
direct-client,e0201236d65ea853de4873133170a23c,1399289761.1253679,39.463118178
command,"",1399289800.6052723,6.0556e-05
command,"",1399289840.2125065,8.3402e-05
direct-client,0e431b0b7cbb452aa66d1b33efd3740d,1399289800.7259536,39.487101791
command,"",1399289843.2176638,6.103e-05
direct-client,2245338bc32a85f150e3de8a42b50a6a,1399289843.3400052,39.472301149
command,"",1399289882.8250873,7.2701e-05
direct-client,dfa8681c7df72736bdc3235e71965abc,1399289882.9452038,39.476363018
command,"",1399289922.4313216,0.000157235
command,"",1399289961.9975848,8.8088e-05
direct-client,e7e07b31b432c4a052209185f3873d27,1399289922.5512342,39.483846176
command,"",1399289965.0027518,6.2747e-05
direct-client,900b380140167dcbda3a40080c3511d2,1399289965.1235964,39.463050775
command,"",1399290004.6055071,7.4175e-05
command,"",1399290044.2077982,8.4573e-05
direct-client,4c3bac3599af62c7ca1160657e30fba3,1399290004.7252178,39.48311088
command,"",1399290047.213394,7.1893e-05
command,"",1399290086.7174914,8.1659e-05
direct-client,0d8307e9067d0092f6a5c2468e36c363,1399290047.335965,39.484067929
command,"",1399290089.72323,9.1107e-05
client,8a7b034754e3fb6601dc6a882314bd40,1399290089.9348528,0.063413546
command,"",1399290119.153993,8.8699e-05
command,"",1399290127.34093,0.00072819
command,"",1399290136.6054895,8.2008e-05
command,"",1399290142.68089,0.000127005
gateway,8a7b034754e3fb6601dc6a882314bd40,1399290090.0045257,52.708488215
command,"",1399290145.685801,6.7982e-05
client,b34afd743d89a749fe98692bb1ea906a,1399290145.8101115,0.061987375
command,"",1399290175.0285828,9.5249e-05
command,"",1399290183.1126652,8.7932e-05
command,"",1399290192.2880156,8.5569e-05
command,"",1399290198.544505,0.000194629
gateway,b34afd743d89a749fe98692bb1ea906a,1399290145.8771842,52.739263431
command,"",1399290201.5494936,7.2507e-05
client,e6637767055e7ff377ea5c56224a41c0,1399290201.6743634,0.063182211
command,"",1399290230.8433418,8.7187e-05
command,"",1399290238.9211576,0.000149274
command,"",1399290248.0364969,9.1251e-05
command,"",1399290254.4389613,0.000143312
gateway,e6637767055e7ff377ea5c56224a41c0,1399290201.7432432,52.736155955
command,"",1399290257.4439538,7.5884e-05
client,c810d0606f79cc103f005d2033115bb7,1399290257.568021,0.061804308
command,"",1399290286.725992,9.4976e-05
command,"",1399290294.8533554,8.7157e-05
command,"",1399290303.919499,8.1023e-05
command,"",1399290310.2991803,0.000125916
gateway,c810d0606f79cc103f005d2033115bb7,1399290257.6380823,52.724534364
command,"",1399290313.3041239,9.8619e-05
client,92c8438c8c5a13bef845c19305f74112,1399290313.4274755,0.062919802
command,"",1399290342.15313,0.000129415
command,"",1399290349.5581264,8.5337e-05
command,"",1399290357.9088283,0.000208642
command,"",1399290366.145132,8.0981e-05
gateway,92c8438c8c5a13bef845c19305f74112,1399290313.4965186,52.657706811
command,"",1399290369.1523185,6.5673e-05
client,f8725b2a4f126a5bbbbb65f538012da3,1399290369.2760115,0.061803348
command,"",1399290398.475416,8.4928e-05
command,"",1399290406.548033,8.0309e-05
command,"",1399290415.8427002,8.659e-05
command,"",1399290422.016327,8.3269e-05
gateway,f8725b2a4f126a5bbbbb65f538012da3,1399290369.3458357,52.731755946
command,"",1399290425.0213,6.3265e-05
client,8fa2351613d13f9639b1eae19ab7e0c5,1399290425.1440282,0.062042028
command,"",1399290454.3304262,8.9872e-05
command,"",1399290462.360592,8.7423e-05
command,"",1399290471.429384,8.5472e-05
command,"",1399290477.8793638,0.000139704
gateway,8fa2351613d13f9639b1eae19ab7e0c5,1399290425.2110877,52.731594766
command,"",1399290480.884344,7.2982e-05
client,c24ed17862b6b7197d16ebb7b5ec3a7e,1399290481.006535,0.061746525
command,"",1399290510.1535418,8.5162e-05
command,"",1399290518.2089179,0.000431849
command,"",1399290527.4098637,8.4677e-05
command,"",1399290533.7568848,0.000127006
gateway,c24ed17862b6b7197d16ebb7b5ec3a7e,1399290481.0733554,52.731246672
command,"",1399290536.7619238,7.1994e-05
client,3dc882f1e6d863b5b2cff66b812f32c0,1399290536.8822799,0.06263885
command,"",1399290566.0811424,7.9781e-05
command,"",1399290574.1776538,9.1037e-05
command,"",1399290583.4343824,8.8356e-05
command,"",1399290589.6208677,0.00012866
gateway,3dc882f1e6d863b5b2cff66b812f32c0,1399290536.9518714,52.720099804
command,"",1399290592.6259727,6.5876e-05
client,4514e2b6f4f786c2bd4aca203c32b3a5,1399290592.747396,0.063593248
command,"",1399290621.9126978,7.9963e-05
command,"",1399290630.0307488,8.9287e-05
command,"",1399290639.1909857,8.4063e-05
command,"",1399290645.5074618,0.000125844
gateway,4514e2b6f4f786c2bd4aca203c32b3a5,1399290592.8246758,52.708529115
command,"",1399290648.5121148,6.6393e-05
command,"",1399290701.2800145,9.0624e-05
direct-client,0f0ecb4c357c76274162c1a4f5432a4d,1399290648.6321216,52.648456423
command,"",1399290704.2852445,6.8634e-05
command,"",1399290757.0490623,8.5248e-05
direct-client,6ed54260e49a4612d7e5d63860e4e323,1399290704.4052134,52.644371479
command,"",1399290760.0548718,6.3479e-05
command,"",1399290812.8225389,8.8187e-05
direct-client,e488418e2ccf8be63f9b536ea8e5cad8,1399290760.1753807,52.647715846
command,"",1399290815.8278193,6.8463e-05
command,"",1399290868.4272714,9.4182e-05
direct-client,56bcf44933f435417892348a70172aa5,1399290815.9495337,52.64712604
command,"",1399290871.432277,9.0363e-05
command,"",1399290924.1965568,8.3663e-05
direct-client,815b67f7c282d8f051041f3329c6d9e1,1399290871.5521207,52.64495663
command,"",1399290927.2014558,8.7995e-05
command,"",1399290979.9653916,7.9406e-05
direct-client,a78c7f6e057f7ac83c42805d898076f5,1399290927.3214347,52.644449853
command,"",1399290982.971104,6.127e-05
command,"",1399291035.7372215,0.000100284
direct-client,74cc5d06b8aeb3e52a6941e73df93e13,1399290983.0916483,52.646148856
command,"",1399291038.7427561,6.4895e-05
direct-client,58276194994917d0e5bc432c670e5eec,1399291038.8630006,52.626073288
command,"",1399291091.5019968,6.7286e-05
command,"",1399291144.2692084,9.1086e-05
direct-client,fb70497dfce1a9b78e1bcdfcc731e1c1,1399291091.6239583,52.645833688
command,"",1399291147.2749763,6.206e-05
command,"",1399291200.040726,8.1498e-05
direct-client,3296a7419e69236f2c297e67ed3e94b5,1399291147.3966758,52.649159297
command,"",1399291203.0455055,6.4296e-05
client,66f15cc00d4dfb32eadc0abd0bd31625,1399291203.2621565,0.076491293
command,"",1399291239.6748767,9.4992e-05
command,"",1399291248.7404563,8.7378e-05
command,"",1399291259.0448241,0.000191961
command,"",1399291269.1582518,6.9828e-05
gateway,66f15cc00d4dfb32eadc0abd0bd31625,1399291203.3440886,65.900776891
command,"",1399291272.1640496,7.7139e-05
client,4dd9a2893d64a3a575385b98ebb9a305,1399291272.2869468,0.078089938
command,"",1399291308.6232796,0.000107697
command,"",1399291317.6194546,8.0534e-05
command,"",1399291327.8803327,0.000110863
command,"",1399291338.181286,8.8649e-05
gateway,4dd9a2893d64a3a575385b98ebb9a305,1399291272.369425,65.87722728
command,"",1399291341.1860564,6.7258e-05
client,41e6503ee48b2497c5f8eaca40603e99,1399291341.3101108,0.079459288
command,"",1399291377.6790502,7.959e-05
command,"",1399291386.7450156,9.0171e-05
command,"",1399291396.9598978,9.4424e-05
command,"",1399291407.1974313,8.1957e-05
gateway,41e6503ee48b2497c5f8eaca40603e99,1399291341.3946724,65.878725998
command,"",1399291410.203657,7.2977e-05
client,51406444c920a36f7bfb945dc706b74e,1399291410.3271136,0.078635833
command,"",1399291446.6069798,9.0927e-05
command,"",1399291455.5419948,8.1134e-05
command,"",1399291465.6541247,8.8178e-05
command,"",1399291476.2145195,8.7378e-05
gateway,51406444c920a36f7bfb945dc706b74e,1399291410.411997,65.840305848
command,"",1399291479.2197576,7.459e-05
client,84233f183ec7afd9a1ca2f1d7bf8c6df,1399291479.34334,0.080131046
command,"",1399291515.7606559,8.1888e-05
command,"",1399291524.8840072,8.0197e-05
command,"",1399291535.0835893,8.7362e-05
command,"",1399291545.2425807,8.6238e-05
gateway,84233f183ec7afd9a1ca2f1d7bf8c6df,1399291479.4318433,65.872590166
command,"",1399291548.2482846,6.8428e-05
client,2bc50ac3dbad13279b425c20cc6d39bb,1399291548.3751156,0.077517913
command,"",1399291584.6512978,7.6202e-05
command,"",1399291593.6633062,9.9404e-05
command,"",1399291603.8809853,9.4574e-05
command,"",1399291614.2679877,6.7133e-05
gateway,2bc50ac3dbad13279b425c20cc6d39bb,1399291548.4610665,65.892256443
command,"",1399291617.2738411,7.4542e-05
client,258395392202f38e50f68623e5c740b5,1399291617.3982167,0.079049612
command,"",1399291653.719226,8.7802e-05
command,"",1399291662.7312376,8.3421e-05
command,"",1399291673.0009444,0.00041597
command,"",1399291683.2956703,6.5074e-05
gateway,258395392202f38e50f68623e5c740b5,1399291617.4821827,65.900854208
command,"",1399291686.301614,7.2783e-05
client,c885ed1a88628c0515932b8011e28dfd,1399291686.4260478,0.077918815
command,"",1399291722.7984695,8.6472e-05
command,"",1399291731.9563527,8.3665e-05
command,"",1399291742.1988308,7.9414e-05
command,"",1399291752.3101425,6.7323e-05
gateway,c885ed1a88628c0515932b8011e28dfd,1399291686.511987,65.884360292
command,"",1399291755.31628,6.8946e-05
client,3f021e1de543eba4cec21374f8bd93e3,1399291755.4423037,0.076874187
command,"",1399291791.7887719,0.000141117
command,"",1399291800.7123318,8.1277e-05
command,"",1399291810.8763995,7.9929e-05
command,"",1399291821.329553,8.6568e-05
gateway,3f021e1de543eba4cec21374f8bd93e3,1399291755.5238678,65.88816662
command,"",1399291824.3362193,6.9386e-05
client,cf4e9c048b1daf2b2825ed9bcf7e8fba,1399291824.4601035,0.077737749
command,"",1399291860.8251028,8.5455e-05
command,"",1399291869.822379,8.747e-05
command,"",1399291880.0364401,8.5691e-05
command,"",1399291890.3622038,8.028e-05
gateway,cf4e9c048b1daf2b2825ed9bcf7e8fba,1399291824.5427904,65.86730191
command,"",1399291893.3689582,9.1184e-05
direct-client,2e0e375516d2f12fd43ce1f31eb811ef,1399291893.492217,65.779969916
command,"",1399291959.2935658,9.9432e-05
command,"",1399292025.1031275,8.1292e-05
direct-client,f64b25c6b1086f4a80a5097b661ca600,1399291959.4148169,65.804561604
command,"",1399292028.1090136,6.7178e-05
command,"",1399292094.031274,7.5051e-05
direct-client,325dcdc7f1946c73a6de5cfd7e176159,1399292028.2313318,65.814424623
command,"",1399292097.0364792,6.2021e-05
command,"",1399292162.890149,8.5458e-05
direct-client,c76ec6d6774d72d3e1c9a6147678e41c,1399292097.1592517,65.803107712
command,"",1399292165.8952613,6.3053e-05
direct-client,2d1aa16291c39224348173c27afb275a,1399292166.0170503,65.783111461
command,"",1399292231.8151212,7.1257e-05
command,"",1399292297.739512,7.2398e-05
direct-client,08f02589bc7df654e72bd9f793360513,1399292231.940814,65.80673097
command,"",1399292300.745199,6.8141e-05
direct-client,5d197839a4d9a7c3cdf406cde060a3c0,1399292300.8688772,65.771720472
command,"",1399292366.6666005,8.6715e-05
command,"",1399292432.586814,0.000109477
direct-client,a7f99f529239614b15c6b31be151f140,1399292366.788283,65.799251495
command,"",1399292435.592926,5.9816e-05
command,"",1399292501.5205932,8.3792e-05
direct-client,ec489bc86bf600cf7963b6cce6af67f1,1399292435.7146258,65.806429379
command,"",1399292504.5258543,6.2029e-05
command,"",1399292570.3091776,0.000263283
direct-client,28d076856374c51b4c3e53ac214761fe,1399292504.6477573,65.770631763
command,"",1399292573.3138938,7.1914e-05
client,735ea89ca39005ad21f19d09848fcd62,1399292573.5519977,0.094939035
command,"",1399292617.0389698,8.406e-05
command,"",1399292627.0127902,0.000179855
command,"",1399292638.277939,8.5762e-05
command,"",1399292651.1196122,0.000106599
gateway,735ea89ca39005ad21f19d09848fcd62,1399292573.65869,79.032669812
command,"",1399292654.1252408,6.3504e-05
client,d5ffa3d1d09b40867ed2d98b28ce729d,1399292654.2505026,0.093228972
command,"",1399292697.6823463,9.1918e-05
command,"",1399292707.5824144,8.0789e-05
command,"",1399292718.7811818,0.000102001
command,"",1399292731.5394406,8.7246e-05
gateway,d5ffa3d1d09b40867ed2d98b28ce729d,1399292654.3582008,79.049273236
command,"",1399292734.5447612,0.000138568
client,f5e93353842bafff47fb166674b03090,1399292734.667244,0.093552245
command,"",1399292778.1020598,8.8559e-05
command,"",1399292787.9856915,8.7099e-05
command,"",1399292799.202557,9.3306e-05
command,"",1399292811.79716,9.1463e-05
gateway,f5e93353842bafff47fb166674b03090,1399292734.7683532,79.064212395
command,"",1399292814.8026655,6.2177e-05
client,f3ec6719b8146c31f08f158564781c06,1399292814.927274,0.093832679
command,"",1399292858.2941918,9.9361e-05
command,"",1399292868.165262,9.153e-05
command,"",1399292879.3927028,8.6148e-05
command,"",1399292891.9878561,8.2376e-05
gateway,f3ec6719b8146c31f08f158564781c06,1399292815.0260339,79.079964596
command,"",1399292894.9935038,7.2046e-05
client,f0f7c0d32bf7a067958f5263f904ddb9,1399292895.1200166,0.093084704
command,"",1399292938.5159564,9.4722e-05
command,"",1399292948.4074981,9.4042e-05
command,"",1399292959.629683,0.000117048
command,"",1399292972.3000946,0.000120671
gateway,f0f7c0d32bf7a067958f5263f904ddb9,1399292895.2215564,79.062380961
command,"",1399292975.3053846,6.733e-05
client,499404d2c8d46b0cc31e4302c8d89b82,1399292975.4302795,0.091353777
command,"",1399293018.9194274,9.5558e-05
command,"",1399293028.819488,0.000100956
command,"",1399293039.8548312,0.000108869
command,"",1399293052.4452443,8.3361e-05
gateway,499404d2c8d46b0cc31e4302c8d89b82,1399292975.5262473,79.078026351
command,"",1399293055.4507883,6.8442e-05
client,d8493a61ca08e7306b6b56caffe7543a,1399293055.5784206,0.09335556
command,"",1399293099.0673065,0.000221651
command,"",1399293108.9767694,0.000143339
command,"",1399293120.2303994,0.000109657
command,"",1399293132.927672,8.7315e-05
gateway,d8493a61ca08e7306b6b56caffe7543a,1399293055.675704,79.039437923
command,"",1399293135.9330797,8.0633e-05
client,a94e6c2324c2fde88c401f1c55b87e2b,1399293136.0600648,0.093824388
command,"",1399293179.5836744,8.9923e-05
command,"",1399293189.6016808,8.7704e-05
command,"",1399293200.9459236,9.3663e-05
command,"",1399293213.769108,0.000293019
gateway,a94e6c2324c2fde88c401f1c55b87e2b,1399293136.1585872,79.058961097
command,"",1399293216.7741432,6.9558e-05
client,823f07c2c5bc4063f29077ed9be2617e,1399293216.9000452,0.093314615
command,"",1399293260.4566796,0.000153668
command,"",1399293270.5389948,8.6899e-05
command,"",1399293281.8256083,8.9505e-05
command,"",1399293294.6535776,8.9835e-05
gateway,823f07c2c5bc4063f29077ed9be2617e,1399293216.9988067,79.076367475
command,"",1399293297.6592762,0.000151886
client,1019537e63c2a7cfb6a432fdf1cbb665,1399293297.7840374,0.094707324
command,"",1399293341.22119,9.0874e-05
command,"",1399293351.1251214,8.6133e-05
command,"",1399293362.3203294,0.00012563
command,"",1399293375.0679393,8.6484e-05
gateway,1019537e63c2a7cfb6a432fdf1cbb665,1399293297.8843753,79.087052944
command,"",1399293378.0735278,6.4713e-05
command,"",1399293457.163579,8.9671e-05
direct-client,53851798bd69f311bb09bee1cb15c07d,1399293378.1973042,78.972423479
command,"",1399293460.1688,0.000118529
command,"",1399293539.256699,8.9848e-05
direct-client,b16ef003dd4416069c8c359bbc980bb9,1399293460.2911007,78.966313852
command,"",1399293542.261511,6.3478e-05
command,"",1399293621.3458457,8.9388e-05
direct-client,4c6b8c36db709b903586f9308639c8c5,1399293542.382311,78.96844324
